"filename", "language", "JSON", "JavaScript", "CSS", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Order\OrderDetails.js", "JavaScript", 0, 103, 0, 0, 0, 0, 9, 112
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Product\ProductDetails.css", "CSS", 0, 0, 254, 0, 0, 6, 36, 296
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Product\ProductDetails.js", "JavaScript", 0, 242, 0, 0, 0, 0, 21, 263
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Product\Products.css", "CSS", 0, 0, 95, 0, 0, 0, 15, 110
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Product\Products.js", "JavaScript", 0, 129, 0, 0, 0, 124, 21, 274
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Product\ReviewCard.js", "JavaScript", 0, 19, 0, 0, 0, 0, 3, 22
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Product\Search.css", "CSS", 0, 0, 49, 0, 0, 3, 5, 57
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Product\Search.js", "JavaScript", 0, 31, 0, 0, 0, 0, 4, 35
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Route\AdminProtectedRoute.js", "JavaScript", 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Route\ProtectedRoute.js", "JavaScript", 0, 16, 0, 0, 0, 0, 2, 18
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\User\ForgotPassword.css", "CSS", 0, 0, 95, 0, 0, 3, 13, 111
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\User\ForgotPassword.js", "JavaScript", 0, 60, 0, 0, 0, 0, 13, 73
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\User\LoginSignup.css", "CSS", 0, 0, 267, 0, 0, 7, 41, 315
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\User\LoginSignup.js", "JavaScript", 0, 208, 0, 0, 0, 88, 19, 315
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\User\Profile.css", "CSS", 0, 0, 120, 0, 0, 3, 21, 144
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\User\Profile.js", "JavaScript", 0, 84, 0, 0, 0, 0, 4, 88
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\User\ResetPassword.css", "CSS", 0, 0, 98, 0, 0, 0, 13, 111
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\User\ResetPassword.js", "JavaScript", 0, 80, 0, 0, 0, 0, 14, 94
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\User\UpdatePassword.css", "CSS", 0, 0, 92, 0, 0, 3, 12, 107
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\User\UpdatePassword.js", "JavaScript", 0, 97, 0, 0, 0, 0, 12, 109
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\User\UpdateProfile.css", "CSS", 0, 0, 141, 0, 0, 3, 19, 163
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\User\UpdateProfile.js", "JavaScript", 0, 258, 0, 0, 0, 23, 18, 299
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\layout\Contact.css", "CSS", 0, 0, 25, 0, 0, 0, 3, 28
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\layout\Contact.js", "JavaScript", 0, 83, 0, 0, 0, 14, 14, 111
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\layout\Footer\Footer.css", "CSS", 0, 0, 64, 0, 0, 0, 8, 72
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\layout\Footer\Footer.js", "JavaScript", 0, 28, 0, 0, 0, 0, 5, 33
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\layout\Header\Header.css", "CSS", 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\layout\Header\Header.js", "JavaScript", 0, 28, 0, 0, 0, 0, 2, 30
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\layout\Header\MetaData.js", "JavaScript", 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\layout\Header\UserOptions.js", "JavaScript", 0, 107, 0, 0, 0, 0, 11, 118
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\layout\Loader\Loader.css", "CSS", 0, 0, 20, 0, 0, 0, 4, 24
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\layout\Loader\Loader.js", "JavaScript", 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\constants\cartConstants.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\constants\orderConstants.js", "JavaScript", 0, 21, 0, 0, 0, 0, 8, 29
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\constants\productConstants.js", "JavaScript", 0, 33, 0, 0, 0, 0, 12, 45
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\constants\userConstants.js", "JavaScript", 0, 40, 0, 0, 0, 0, 14, 54
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\index.css", "CSS", 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\index.js", "JavaScript", 0, 21, 0, 0, 0, 0, 3, 24
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\reducers\cartReducer.js", "JavaScript", 0, 36, 0, 0, 0, 0, 1, 37
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\reducers\orderReducer.js", "JavaScript", 0, 173, 0, 0, 0, 2, 13, 188
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\reducers\productReducer.js", "JavaScript", 0, 266, 0, 0, 0, 4, 16, 286
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\reducers\userReducer.js", "JavaScript", 0, 244, 0, 0, 0, 0, 22, 266
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\store.js", "JavaScript", 0, 58, 0, 0, 0, 0, 6, 64
"c:\Users\ACER\Desktop\cheap-grocery\package-lock.json", "JSON", 1135, 0, 0, 0, 0, 0, 1, 1136
"c:\Users\ACER\Desktop\cheap-grocery\package.json", "JSON", 28, 0, 0, 0, 0, 0, 1, 29
"Total", "-", 20901, 6756, 2653, 26, 38, 461, 1390, 32225
